Class,Label,Pixel Count,Area (km²)
15,Unknown,16737,1.1622916666666669e-08
13,Unknown,16717,1.160902777777778e-08
40,Cropland,16703,1.1599305555555558e-08
21,Unknown,16507,1.1463194444444446e-08
5,Unknown,16483,1.144652777777778e-08
6,Unknown,16182,1.1237500000000002e-08
4,Unknown,15637,1.085902777777778e-08
2,Unknown,15589,1.0825694444444446e-08
3,Unknown,15580,1.0819444444444446e-08
16,Unknown,15576,1.0816666666666668e-08
30,Grassland,15479,1.0749305555555557e-08
8,Unknown,15466,1.074027777777778e-08
36,Unknown,15416,1.0705555555555557e-08
11,Unknown,15278,1.0609722222222223e-08
9,Unknown,15272,1.0605555555555557e-08
12,Unknown,15260,1.0597222222222224e-08
7,Unknown,15253,1.0592361111111113e-08
17,Unknown,15226,1.0573611111111113e-08
10,Tree cover,15219,1.0568750000000002e-08
42,Unknown,15213,1.0564583333333334e-08
37,Unknown,15175,1.0538194444444446e-08
32,Unknown,15006,1.0420833333333335e-08
44,Unknown,14961,1.0389583333333334e-08
25,Unknown,14927,1.0365972222222223e-08
27,Unknown,14917,1.0359027777777779e-08
24,Unknown,14908,1.0352777777777778e-08
14,Unknown,14869,1.0325694444444445e-08
38,Unknown,14839,1.0304861111111113e-08
26,Unknown,14792,1.0272222222222224e-08
33,Unknown,14782,1.0265277777777778e-08
34,Unknown,14692,1.0202777777777779e-08
31,Unknown,14687,1.0199305555555557e-08
29,Unknown,14650,1.0173611111111113e-08
22,Unknown,14631,1.0160416666666668e-08
18,Unknown,14623,1.0154861111111113e-08
43,Unknown,14608,1.0144444444444446e-08
28,Unknown,14605,1.0142361111111112e-08
20,Shrubland,14580,1.0125000000000001e-08
23,Unknown,14521,1.008402777777778e-08
19,Unknown,14441,1.0028472222222224e-08
39,Unknown,14438,1.002638888888889e-08
35,Unknown,14359,9.97152777777778e-09
45,Unknown,14348,9.96388888888889e-09
41,Unknown,14342,9.959722222222224e-09
48,Unknown,13927,9.671527777777778e-09
47,Unknown,13855,9.62152777777778e-09
46,Unknown,13682,9.50138888888889e-09
49,Unknown,13593,9.439583333333334e-09
50,Built-up,13425,9.322916666666668e-09
53,Unknown,13123,9.113194444444445e-09
1,Unknown,12939,8.985416666666667e-09
51,Unknown,12926,8.97638888888889e-09
52,Unknown,12871,8.938194444444445e-09
54,Unknown,12611,8.75763888888889e-09
56,Unknown,12022,8.348611111111113e-09
55,Unknown,11568,8.033333333333334e-09
66,Unknown,11421,7.93125e-09
59,Unknown,11298,7.845833333333335e-09
62,Unknown,11289,7.839583333333334e-09
58,Unknown,11212,7.786111111111112e-09
57,Unknown,11169,7.75625e-09
65,Unknown,11156,7.747222222222223e-09
64,Unknown,11155,7.74652777777778e-09
60,Bare / sparse vegetation,11104,7.711111111111113e-09
63,Unknown,10949,7.603472222222224e-09
67,Unknown,10944,7.6e-09
61,Unknown,10847,7.53263888888889e-09
68,Unknown,10763,7.474305555555557e-09
74,Unknown,10205,7.086805555555557e-09
69,Unknown,10188,7.075000000000001e-09
75,Unknown,10175,7.065972222222223e-09
71,Unknown,10157,7.053472222222223e-09
70,Snow and ice,10113,7.022916666666668e-09
